1.570332237521676833e+00,1.475734886614666674e+00,1.474999961256976189e+00
1.569360085649500469e+00,1.472698625647857806e+00,1.473144468443926325e+00
1.570723244038014998e+00,1.469971712824310384e+00,1.473652300077950894e+00
1.570501514733018356e+00,1.472547229832080529e+00,1.473454412633706578e+00
1.570158191938184622e+00,1.469870384916112993e+00,1.472395834016303251e+00
1.569450684720359313e+00,1.472830947975033222e+00,1.472574051925426897e+00
1.569794007515192824e+00,1.473279771003695782e+00,1.473364409609366543e+00
1.569394656347591344e+00,1.470248874455556187e+00,1.473373946353667474e+00
1.566832848409753787e+00,1.472764786811445514e+00,1.473716077055463369e+00
1.570503898919093588e+00,1.473259505422056304e+00,1.471715148891824310e+00
1.570209451938802125e+00,1.468545373504802409e+00,1.473285731468883863e+00
1.569805332399050180e+00,1.472556766576381460e+00,1.473673757752627989e+00
1.569895335423390215e+00,1.471292551909989310e+00,1.471879657731015367e+00
1.569630094722520575e+00,1.471873697265827285e+00,1.473850187522195210e+00
1.568899341690461746e+00,1.472677764019699520e+00,1.472995456814224280e+00
1.569928714028443473e+00,1.473117646350579957e+00,1.472841676812371770e+00
1.567146964925165697e+00,1.472155031222704746e+00,1.474226888922081979e+00
1.569689699374401393e+00,1.470903333533207569e+00,1.473280963096733398e+00
1.570636221246269004e+00,1.470965918417682428e+00,1.473301228678372876e+00
1.570401378917858581e+00,1.472387489365039936e+00,1.473902639615850330e+00
1.570381113336219103e+00,1.473136123792663010e+00,1.470983799813246673e+00
1.570515223802950944e+00,1.472460803086853343e+00,1.473706540311162438e+00
1.570651122409239209e+00,1.472951945418351283e+00,1.473992642640190365e+00
1.572160908241380328e+00,1.473925289383565040e+00,1.474061187989853305e+00
1.567276307019747073e+00,1.471662100751650382e+00,1.474273976597067826e+00
1.568710394943999553e+00,1.473175462862904350e+00,1.474163707991088312e+00
1.574982592461418252e+00,1.474557098693501711e+00,1.477654752451748044e+00
1.566144414680530339e+00,1.466723855343324612e+00,1.470619019343736067e+00
1.567835398654389145e+00,1.468558486528216189e+00,1.470354970735904043e+00
1.576202103638899787e+00,1.477164802213287720e+00,1.476327952900880813e+00
